OSE Building ID,Data Year,Building Name,Building Type,Address,City,State,Zip Code,Latitude,Longitude,Neighborhood,Council District Code,Year Built,Numberof Floors,Property GFA Total,PropertyGFABuilding(s),Property GFA Parking,Primary Property Type,ENERGYSTAR Score,SiteEUIWN(kBtu/sf),SiteEUI(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SourceEUIWN(kBtu/sf),SourceEUI(kBtu/sf),Largest Property Use Type,Largest Property Use Type GFA,Second Largest Property Use Type,Second Largest Property Use Type GFA,Third Largest Property Use Type,Third Largest Property Use Type GFA,Electricity(kWh),SteamUse(kBtu),NaturalGas(therms),EPA Building Sub Type Name,Compliance Issue,Compliance Status,Electricity(kBtu),NaturalGas(kBtu),GHG Emissions Intensity,Total Ghg Emissions
1,2018,MAYFLOWER PARK HOTEL,NonResidential,405 OLIVE WAY,SEATTLE,WA,98101,47.6122,-122.33799,DOWNTOWN,1,1927,12,88434,88434,0,Hotel,60,84.400001526,83.800003052,7465990,7408290,170.100006104,168.899993896,Hotel,88434,,,,,1145355,2090193,14101,Hotel,No Issue,Compliant,3907951,1410145,2.2,196.4
2,2018,PARAMOUNT HOTEL,NonResidential,724 PINE ST,SEATTLE,WA,98101,47.61317,-122.33393,DOWNTOWN,1,1996,11,103566,88502,15064,Hotel,71,90,89.199996948,7962964,7897345,151.199996948,150.399993896,Hotel,83880,Parking,15064,Restaurant,4622,840157,0,50307,Hotel,No Issue,Compliant,2866615,5030730,3.1,274.8
3,2018,WESTIN HOTEL (Parent Building),NonResidential,1900 5TH AVE,SEATTLE,WA,98101,47.61393,-122.3381,DOWNTOWN,1,1969,41,956110,759392,196718,Hotel,64,89,88.199996948,67336376,66755536,200.600006104,199.699996948,Hotel,756493,Parking,138635,Swimming Pool,0,13028620,20851598,14503,Hotel,No Issue,Compliant,44453651,1450300,1.7,1304.2
5,2018,HOTEL MAX,NonResidential,620 STEWART ST,SEATTLE,WA,98101,47.61412,-122.33664,DOWNTOWN,7,1926,10,61320,61320,0,Hotel,39,121.099998474,120,7426193,7360236,209,206,Hotel,61320,,,,,769653,2003570,27306,Hotel,No Issue,Compliant,2626057,2730608,4.2,258.5
8,2018,WARWICK SEATTLE HOTEL,NonResidential,401 LENORA ST,SEATTLE,WA,98121,47.61375,-122.34047,DOWNTOWN,1,1980,18,175580,113580,62000,Hotel,81,107.400001526,106.400001526,13261917,13134094,179.600006104,179.100006104,Hotel,123445,Parking,68009,Swimming Pool,0,1392492,0,83829,Hotel,No Issue,Compliant,4751183,8382912,4,457.9
9,2018,WEST PRECINCT (SEATTLE POLICE),Nonresidential COS,810 VIRGINIA ST,SEATTLE,WA,98101,47.61623,-122.33657,DOWNTOWN,1,1999,2,97288,60090,37198,Police Station,,284,277.200012207,14414122,14070776,575.700012207,570.700012207,Police Station,50755,Parking,40971,,,2376581,0,59619,Police Station,No Issue,Compliant,8108894,5961883,5.6,338.3
10,2018,CAMLIN WORLDMARK HOTEL,NonResidential,1619 9TH AVE,SEATTLE,WA,98101,47.6139,-122.33283,DOWNTOWN,7,1926,11,83008,83008,0,Hotel,53,72.900001526,71.199996948,5928950,5791972,131.600006104,129.100006104,Hotel,81352,,,,,740400,0,32657,Hotel,No Issue,Compliant,2526245,3265727,2.2,180.2
11,2018,PARAMOUNT THEATER,NonResidential,901 PINE ST,SEATTLE,WA,98101,47.61327,-122.33136,DOWNTOWN,1,1926,8,102761,102761,0,Other - Entertainment/Public Assembly,,68.699996948,66.699996948,7056452,6852434,149.199996948,146.800003052,Other - Entertainment/Public Assembly,102761,,,,,1268772,2084303,4391,Other - Entertainment/Public Assembly,No Issue,Compliant,4329050,439080,1.4,145.7
12,2018,COURTYARD BY MARRIOTT - PIONEER SQ,NonResidential,612 2ND AVE,SEATTLE,WA,98104,47.60294,-122.33263,DOWNTOWN,7,1904,15,163984,163984,0,Hotel,64,93.699996948,92.099998474,15372180,15107016,168.600006104,166.100006104,Hotel,163984,,,,,1905163,0,86066,Hotel,No Issue,Compliant,6500416,8606600,2.9,474.4
13,2018,LYON BUILDING,Multifamily MR (5-9),607 3RD AVE,SEATTLE,WA,98104,47.60284,-122.33184,DOWNTOWN,1,1910,6,63712,62216,1496,Multifamily Housing,14,93.699996948,90.800003052,5742266,5562718,177.300003052,173.800003052,Multifamily Housing,43377,Retail Store,10652,Office,7253,754990,1989239,9975,Multifamily Housing,No Issue,Compliant,2576024,997455,2.7,165.6
15,2018,HOTEL MONACO,NonResidential,1101 4TH AVE,SEATTLE,WA,98101,47.60695,-122.33414,DOWNTOWN,1,1969,11,153163,133884,19279,Hotel,48,120,118.300003052,16059593,15833285,206.300003052,204.899993896,Hotel,133884,Parking,19279,,,1662347,5731494,44299,Hotel,No Issue,Compliant,5671928,4429862,4.1,555.1
16,2018,W SEATTLE HOTEL,NonResidential,1112 4TH AVE,SEATTLE,WA,98101,47.60738,-122.33362,DOWNTOWN,1,1998,25,333176,272015,61161,Hotel,38,92.300003052,92.400001526,26950742,26981740,208,208.600006104,Hotel,292079,Parking,44561,,,5311972,5806291,30510,Hotel,Default Data,Not Compliant,18124448,3051000,1.9,519.1
17,2018,EXECUTIVE PACIFIC PLAZA,NonResidential,400 SPRING ST,SEATTLE,WA,98104,47.60699,-122.33346,DOWNTOWN,7,1928,9,65009,65009,0,Hotel,60,73.5,73.5,4777262,4777262,117.900001526,117.900001526,Hotel,65009,,,,,410361,1298435,20787,Hotel,No Issue,Compliant,1400152,2078675,2.8,183.2
18,2018,CROWNE PLAZA,NonResidential,1113 6TH AVE,SEATTLE,WA,98101,47.60809,-122.33212,DOWNTOWN,7,1980,33,353111,295511,57600,Hotel,70,78.5,78.5,23188590,23188590,163.399993896,163.399993896,Hotel,295511,Parking,57600,,,4008800,0,95106,Hotel,No Issue,Compliant,13678026,9510564,1.8,541.6
19,2018,HOTEL VINTAGE PARK,NonResidential,1100 5TH AVE,SEATTLE,WA,98101,47.60755,-122.33244,DOWNTOWN,1,1922,11,92190,66990,25200,Hotel,24,146.399993896,143.800003052,9867718,9688961,248.399993896,245.300003052,Hotel,67390,Parking,18031,,,952972,4346775,20906,Hotel,No Issue,Compliant,3251539,2090646,5.2,350.8
21,2018,SEATTLE CENTRAL LIBRARY,Nonresidential COS,1000 4TH AVE,SEATTLE,WA,98104,47.60649,-122.33297,DOWNTOWN,1,2004,11,412000,355000,57000,Library,,42.700000763,42.799999237,15617546,15675793,116.300003052,117,Library,364913,Parking,49000,Data Center,1074,4399632,664249,0,Library,No Issue,Compliant,15011544,0,0.2,75.4
22,2018,DOWNTOWN SEATTLE YMCA,NonResidential,909 4TH AVE,SEATTLE,WA,98104,47.60546,-122.33279,DOWNTOWN,7,1930,6,103911,103911,0,Fitness Center/Health Club/Gym,,119,117.699996948,12369159,12232376,226.199996948,224.600006104,Fitness Center/Health Club/Gym,61528,Office,32195,Other - Lodging/Residential,10188,1618329,5444991,12656,Fitness Center/Health Club/Gym,No Issue,Compliant,5521739,1265645,3.6,371.4
