OSEBuildingID,DataYear,BuildingName,BuildingType,TaxParcelIdentificationNumber,Address,City,State,ZipCode,Latitude,Longitude,Neighborhood,CouncilDistrictCode,YearBuilt,NumberofFloors,NumberofBuildings,PropertyGFATotal,PropertyGFABuilding(s),PropertyGFAParking,ENERGYSTARScore,SiteEUIWN(kBtu/sf),SiteEUI(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SourceEUIWN(kBtu/sf),SourceEUI(kBtu/sf),EPAPropertyType,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,Electricity(kWh),SteamUse(kBtu),NaturalGas(therms),ComplianceStatus,ComplianceIssue,Electricity(kBtu),NaturalGas(kBtu),TotalGHGEmissions,GHGEmissionsIntensity
1,2022,MAYFLOWER PARK HOTEL,NonResidential,0659000030,405 OLIVE WAY,SEATTLE,WA,98101,47.6122,-122.33799,DOWNTOWN,7,1927,12,1,88434,88434,0,65,82.90000153,82.90000153,7333372,7333372,165.6000061,165.6000061,Hotel,Hotel,88434,NA,,NA,,1107295,2192383,13629,Compliant,No Issue,3778091,1362900,264.5,2.99
2,2022,PARAMOUNT HOTEL,NonResidential,0659000220,724 PINE ST,SEATTLE,WA,98101,47.61307,-122.33361,DOWNTOWN,7,1996,11,1,103566,88502,15064,94,57.79999924,58,5135498,5118380,107.9000015,108.0999985,Hotel,Hotel,88502,Parking,15064,NA,,698673,,27516,Compliant,No Issue,2383872,2751630,155.3,1.75
3,2022,WESTIN HOTEL (Parent Building),NonResidential,0659000475,1900 5TH AVE,SEATTLE,WA,98101,47.61367,-122.33822,DOWNTOWN,7,1969,41,3,956110,759392,196718,90,63.59999847,64.19999695,60652388,60137812,136.6999969,137.3000031,Hotel,Hotel,945349,Parking,117783,Swimming Pool,0,10597710,18793702,56993,Compliant,No Issue,36159387,5699300,1963.7,2.59
5,2022,HOTEL MAX,NonResidential,0659000640,620 STEWART ST,SEATTLE,WA,98101,47.61412,-122.33664,DOWNTOWN,7,1926,10,1,61320,61320,0,30,118.8000031,118.8000031,7282760,7282760,204.8999939,204.8999939,Hotel,Hotel,61320,NA,,NA,,783804,1549427,30590,Compliant,No Issue,2674341,3058990,298.2,4.86
8,2022,WARWICK SEATTLE HOTEL,NonResidential,0659000970,401 LENORA ST,SEATTLE,WA,98121,47.61375,-122.34047,DOWNTOWN,7,1980,18,1,175580,113580,62000,87,97.19999695,97.80000305,12066758,12003440,168.8000031,169.3000031,Hotel,Hotel,123445,Parking,68009,Swimming Pool,0,1378847,,73621,Compliant,No Issue,4704626,7362130,409,3.6
9,2022,WEST PRECINCT (SEATTLE POLICE),Nonresidential COS,0660000560,810 VIRGINIA ST,SEATTLE,WA,98101,47.61623,-122.33657,DOWNTOWN,7,1999,2,1,97288,60090,37198,,196.3000031,198.8000031,10092095,9964109,430.6000061,433.7999878,Police Station,Police Station,50755,Parking,40971,NA,,1912304,,35673,Compliant,No Issue,6524781,3567310,214.5,3.57
10,2022,CAMLIN WORLDMARK HOTEL,NonResidential,0660000825,1619 9TH AVE,SEATTLE,WA,98101,47.6139,-122.33283,DOWNTOWN,7,1926,11,1,83008,83008,0,57,68.09999847,69,5731688,5654250,127.5999985,128.6000061,Hotel,Hotel,83008,NA,,NA,,779880,,30707,Compliant,No Issue,2660951,3070740,173.3,2.09
11,2022,PARAMOUNT THEATER,NonResidential,0660000955,901 PINE ST,SEATTLE,WA,98101,47.61327,-122.33136,DOWNTOWN,7,1926,8,1,102761,102761,0,,,,,,,,Other - Entertainment/Public Assembly,Other - Entertainment/Public Assembly,102761,NA,,NA,,1138920,3988435,,Not Compliant,"Missing EUI, Incomplete Natural Gas Data",3885995,,338,3.29
12,2022,COURTYARD BY MARRIOTT - PIONEER SQ,NonResidential,0939000080,612 2ND AVE,SEATTLE,WA,98104,47.60294,-122.33263,DOWNTOWN,7,1904,15,1,163984,163984,0,75,76.5,78.5,12878732,12551548,150.6000061,152.6999969,Hotel,Hotel,163984,NA,,NA,,1927852,,63009,Compliant,No Issue,6577831,6300900,359.9,2.19
13,2022,LYON BUILDING,Multifamily MR (5-9),0939000105,607 3RD AVE,SEATTLE,WA,98104,47.60284,-122.33184,DOWNTOWN,7,1910,6,1,63712,62216,1496,39,73.90000153,75.5,4238979,4145464,145,146.8999939,Multifamily MR (5-9),Multifamily Housing,38407,Office,12139,Medical Office,5586,608037,1082922,10814,Compliant,No Issue,2074623,1081430,153.1,2.46
15,2022,HOTEL MONACO,NonResidential,0942000145,1101 4TH AVE,SEATTLE,WA,98101,47.60695,-122.33414,DOWNTOWN,7,1969,11,1,153163,133884,19279,,,,,,,,Hotel,Hotel,154723,NA,,NA,,,,,Not Compliant,Missing EUI or Utility Data,,,,
16,2022,W SEATTLE HOTEL,NonResidential,0942000165,1112 4TH AVE,SEATTLE,WA,98101,47.60738,-122.33362,DOWNTOWN,7,1998,25,1,333176,272015,61161,69,84.30000305,84.30000305,24635250,24635250,191.6000061,191.6000061,Hotel,Hotel,292079,Parking,44561,NA,,4913303,5022234,28488,Compliant,No Issue,16764190,2848830,622.4,2.29
17,2022,EXECUTIVE HOTEL PACIFIC,NonResidential,0942000210,400 SPRING ST,SEATTLE,WA,98104,47.60699,-122.33346,DOWNTOWN,7,1928,9,1,65009,65009,0,,,,,,,,NA,NA,,NA,,NA,,,,,Not Compliant,Portfolio Manager Not Connected to the City of Seattle,,,,
18,2022,CROWNE PLAZA,NonResidential,0942000235,1113 6TH AVE,SEATTLE,WA,98101,47.60809,-122.33212,DOWNTOWN,7,1980,33,1,353111,295511,57600,89,57.40000153,57.40000153,16972288,16972288,130.8000031,130.8000031,Hotel,Hotel,295511,Parking,57600,NA,,3491248,,50602,Compliant,No Issue,11912138,5060150,314.4,1.06
19,2022,HOTEL VINTAGE PARK,NonResidential,0942000265,1100 5TH AVE,SEATTLE,WA,98101,47.60755,-122.33244,DOWNTOWN,7,1922,11,1,92190,66990,25200,100,70.5,73.19999695,4933287,4748371,82.30000305,85.59999847,Hotel,Hotel,67390,Parking,18031,NA,,,3835287,10980,Not Compliant,Unknown - Contact the Help Desk,,1098000,369,5.51
21,2022,SEATTLE CENTRAL LIBRARY,Nonresidential COS,0942000275,1000 4TH AVE,SEATTLE,WA,98104,47.60649,-122.33297,DOWNTOWN,7,2004,11,1,412000,355000,57000,,37.5,38,13908105,13721592,102.8000031,104,Library,Library,364913,Parking,49000,Data Center,1074,3912335,559218,,Compliant,No Issue,13348887,,96.5,0.27
22,2022,DOWNTOWN SEATTLE YMCA,NonResidential,0942000350,909 4TH AVE,SEATTLE,WA,98104,47.60546,-122.33279,DOWNTOWN,7,1930,6,1,103911,103911,0,,,,,,,,Fitness Center/Health Club/Gym,Fitness Center/Health Club/Gym,61528,Office,32195,Other - Lodging/Residential,10188,1286934,3322721,,Not Compliant,"Missing EUI, Incomplete Natural Gas Data",4391019,,286,2.75
23,2022,RENAISSANCE MADISON HOTEL,NonResidential,0942000430,515 MADISON ST,SEATTLE,WA,98104,47.60681,-122.33078,DOWNTOWN,7,1983,28,1,416281,331281,85000,65,76.69999695,76.69999695,29220000,29220000,164,164,Hotel,Hotel,380882,Parking,85000,NA,,5320061,,110680,Compliant,No Issue,18152048,11067950,657.4,1.98
24,2022,RAINIER CLUB (HISTORICAL LANDMARK),NonResidential,0942000510,810 4TH AVE,SEATTLE,WA,98104,47.60515,-122.33159,DOWNTOWN,7,1907,5,1,57452,57452,0,,112.8000031,115.0999985,6611587,6478516,214.3000031,217,Mixed Use Property,Social/Meeting Hall,16442,Restaurant,15505,Office,9741,882135,1682129,19196,Compliant,No Issue,3009846,1919610,249.7,4.35
