Building Type,Number of Buildings,25th Percentile of EUI,Median Site EUI,75th Percentile of EUI,Average Site EUI,Average Site EUI WN,Median Source EUI,Median ENERGY STAR Score,Total Gross Floor Area,Median Gross Floor Area,Median Year Built,Number of Buildings with an ENERGY STAR Score
College/University,39,62.10,74.4,125.35,145.69,148.79,158.00,,17041647,84459,1970,0
Distribution Center,53,15.20,24,38.95,33.40,34.23,53.55,54,3192264,42900,1967,45
High-rise Multifamily,113,36.10,45,56.70,47.75,48.83,101.30,66,22603550,161011,1985,101
Hospital,10,178.20,205.1,232.65,211.30,212.73,394.10,64,6919560,387830,1992,9
Hotel,79,60.50,74.7,91.60,78.70,79.37,147.90,71,11358481,88502,1980,78
K-12 School,140,30.08,36.6,46.30,39.88,41.69,69.55,73.5,10668921,54964.5,1962.5,136
Laboratory,12,169.60,248.4,321.73,275.78,278.78,523.55,,897235,52224.5,1982.5,1
Large Office,169,42.10,52.9,63.60,58.82,60.12,137.00,81.5,55103411,219095,1988,154
Low-rise Multifamily,1008,25.00,29.7,38.10,34.82,35.77,75.90,81,40366901,29617,1978,824
Medical Office,44,64.33,79.4,99.33,86.26,86.83,211.80,56,5208354,66881.5,1986.5,41
Mid-rise Multifamily,637,27.40,34,43.50,38.16,38.75,77.70,93,52652522,56745,2001,517
Mixed Use Property,140,38.45,65.5,112.25,91.06,92.04,140.10,65.5,15086505,50500,1974,36
Non-Refrigerated Warehouse,155,15.12,27.3,50.35,36.01,37.35,59.30,48,8539953,39840,1964,135
Other,248,43.60,77.3,120.10,107.78,109.75,151.00,71.5,21276341,36105,1964,12
Refrigerated Warehouse,12,31.55,47.6,93.40,72.96,72.65,108.90,47.5,867298,25548.5,1955,6
Residence Hall/Dormitory,22,33.37,55.4,72.12,55.04,56.58,101.30,74,1829348,56768.5,1975.5,21
Restaurant,10,47.38,155.8,247.02,170.40,171.85,309.50,,306922,29910,1921,0
Retail Store,78,37.65,54.4,78.85,61.89,62.68,121.75,67.5,5695169,44397,1961,64
Self-Storage Facility,41,7.90,12,19.80,17.02,17.62,26.40,,3006666,61880,1964,0
Senior Care Community,45,45.25,65.9,96.70,75.43,76.90,140.30,76,5010247,78374,1988,40
Small/Mid-size Office,304,37.80,50.5,70.07,59.68,60.63,126.95,67,13861422,38418,1962.5,248
Supermarket/Grocery Store,38,178.85,236.9,306.70,237.62,240.10,497.40,63,1863819,44747,1991.5,36
Worship Facility,69,26.00,33.7,44.40,35.53,37.44,57.20,51,2194847,25521,1951,66
