BuildingType,25th Percentile of EUI,Median Site EUI,75th Percentile of EUI,Median Site EUI Weather Normalized,Median Source EUI,Median ENERGY STAR Score,Number of Buildings,Number of Buildings with ENERGY STAR Score,Total Gross Floor Area,Median Property GFA Total,Median Year Built,Percent Electricity,Percent Gas,Percent Steam,Percent Other Fuel,Low Outlier Cutoff,High Outlier Cutoff
Citywide,29.2,40.6,63.7,39.9,100.4,79,3375,2422,331093614,45000,1978,65.4,26.6,7.1,0.9,NA,NA
Low-rise Multifamily,26.1,30.9,39.9,30.4,87.9,81,981,780,42195252,31334,1978,72.1,27.9,0,0,9.5,116.7
Mid-rise Multifamily,28.3,34.8,46.6,34.3,90.9,91,597,448,56053642,62820,2000,64.5,35.3,0.3,0,9.5,163.6
High-rise Multifamily,40.4,50.1,62.6,50,123.5,53.5,109,92,24683087,170000,1983,58.3,37.7,4,0,15.5,NA
Small/Mid-size Office,40.5,54.9,71.3,54.2,150.4,74,315,244,17139988,40571,1965,82.1,15.8,2.1,0,1.2,404.9
Large Office,45.8,55.5,71.8,54.6,162.3,89,155,137,61760323,277486,1985,89.4,7.4,3.2,0,NA,253.5
Non-Refrigerated Warehouse,14.7,29.8,56,29.5,72.5,59,191,142,11095440,40028,1964,61.7,38.3,0,0,NA,NA
Distribution Center,18.6,35.3,46.8,33.6,72.2,54,50,37,3306486,48976,1966.5,64.5,35.5,0,0,NA,NA
Self-Storage Facility,11.3,18.5,27.6,17.8,37.5,NA,24,0,1135642,39456,1956,55.9,44.1,0,0,NA,NA
Refrigerated Warehouse,26.3,34.7,100.2,34.7,101.4,93,12,5,512200,26420,1958,93.6,6.4,0,0,NA,NA
K-12 School,35.2,41.1,53,40.6,84.3,87,127,126,9908963,54943,1964,47.6,52.2,0.1,0.1,12.2,NA
Retail Store,43.1,58.2,94.9,56.9,153.6,73,98,72,8964730,47470,1966,71.3,27.3,1.5,0,4.2,NA
Hotel,63.9,83.2,97.5,82,176.8,63,69,67,11104110,104000,1981,50.7,34.5,14.8,0,NA,NA
Worship Facility,26.8,37.7,47.8,36.9,68.1,70,67,61,2170767,25521,1951,34.7,62.1,3.2,0,4.8,NA
Medical Office,70.3,88.1,120.7,87.5,252.9,39.5,40,34,6492665,54586,1986,73.2,21.9,4.9,0,NA,NA
Senior Care Community,46.5,73.9,106.5,73.1,160.6,72,44,42,5677316,91394,1992.5,49.5,46.8,3.7,0,NA,NA
Hospital (General Medical & Surgical),167.1,207.2,212.1,206,406.4,68,10,9,6991831,485992,1960.5,47,29,24,0,NA,NA
Supermarket/Grocery Store,189.3,248.9,303.8,248.1,581.8,50,36,35,1649063,44955,1996.5,62.7,37.3,0,0,11.2,NA
Restaurant,34.6,138.2,205.6,137.1,275.6,NA,9,0,299575,31020,1919,39.9,60.1,0,0,NA,NA
Residence Hall/Dormitory,33,50.6,74.2,50.5,108.5,82,22,19,1917750,56768,1973,55.2,39.2,5.6,0,NA,NA
College/University,61.5,83.5,149.7,82.6,185.2,NA,38,0,16497716,84380,1967,55.3,9.3,27.4,8,NA,NA
Mixed Use Property,40.7,54.2,109.5,53.9,140.3,77.5,20,6,4060715,76588,2005.5,37.8,62.2,0,0,NA,NA
Other,42.7,74.3,120,73.1,168.3,76,361,66,37476353,43540,1969,66.2,27.6,5.8,0.4,2.6,NA
