Building Type,25th Percentile of EUI,Median Site EUI,75th Percentile of EUI,Median Site EUI Weather Normalized,Median Source EUI,Median ENERGY STAR Score,Number of Buildings,Total Gross Floor Area,Median Property GFA Total,Median Year Built,Percent Electricity,Percent Gas,Percent Steam,Percent Other Fuel
Distribution Center,17.8,30.4,43.7,31.8,67.2,56,53,3417544,48001,1966,69.9,30.1,0,0
High-Rise Multifamily,38.4,46.5,56.4,49.4,108.6,53,98,20487424,166215,1982,61.7,35.8,2.5,0
Hospital,198.1,217.1,238.4,207.5,467.6,34,9,5838538,415632,1990,49.3,30.1,20.6,0
Hotel,58.4,79.5,96,81.3,167.6,63,76,11510670,103783,1971,51.6,31.9,16.5,0
K-12 School,32.2,38.6,47.7,43.6,81,85,120,9385321,52755,1963,49.9,49.9,0.1,0
Laboratory,218.3,240.9,349.1,248.2,559.5,,9,1158623,102235,1985,49.9,38,12.1,0
Large Office,46,53.4,70.6,55.1,164.6,86,164,58311556,243010,1985,90.6,6.3,3.1,0
Low-Rise Multifamily,25.3,29.8,37.8,31.6,84.5,73,955,40694682,31334,1977,73.6,26.1,0.3,0
Medical Office,69.5,78.9,102.4,81.3,236.3,51,39,6325519,94500,1984,71.3,21.8,6.9,0
Mid-Rise Multifamily,27.9,34,43.7,35.6,89.4,84,538,48920933,59334,1999,65.7,33.8,0.2,0.2
Mixed Use Property,39.8,57.2,96.8,60.6,142.5,75,122,13424093,48420,1966,57.2,40.6,2.2,0
Other,43.1,77.9,122.4,83.1,174.6,72,237,23828974,40600,1964,70.8,25.5,3.2,0.4
Refrigerated Warehouse,33.7,49.8,107.7,51,123.7,75,12,466002,25549,1955,93.2,6.8,0,0
Residence Hall,31.5,54.8,73.3,57.8,109.9,72,23,1941366,44086,1976,59.5,35.4,5.1,0
Restaurant,96.5,148,176.8,147.3,318.2,,11,327575,28800,1923,46.4,48.8,4.9,0
Retail Store,36.2,54.3,81,57.7,139.3,75,89,7383551,43832,1965,74.3,24.9,0.7,0.2
Self-Storage Facility,9.5,15.7,25.3,17.7,34.4,,28,1521080,43266,1956,59.1,40.9,0,0
Senior Care Community,46,66.7,99.8,69.6,152,71,44,5530170,91394,1989,49.4,47.4,3.2,0
Small- and Mid-Sized Office,38.5,51.5,68.1,53.6,142.8,73,278,12935050,39103,1961,80.8,17.6,1.7,0
Supermarket / Grocery Store,182.6,250.6,295.6,257.7,584.7,41,38,2239476,45339,1990,65.3,34.7,0,0
Worship Facility,23.7,32.1,40.4,36.3,60.9,69,69,2291285,26366,1952,38,59.3,2.7,0
Citywide,28.2,38.7,59.8,41,96.2,75,3219,304116564,44016,1975,68.3,26,4.8,0.8
Non-Refrigerated Warehouse,13.5,27,46.3,30.1,62.2,60,184,11385466,41038,1964,68,32,0,0
College / University,44.3,66.7,85,66.4,160.2,,23,14791666,84000,1956,68.1,13.8,7.8,10.4
