BuildingType,Buildings,Percentile_25th_EUI,Median_EUI,Percentile_75th_EUI,Median_EUI_WN,Average_Site_EUI,Average_Site_EUI_WN,Median_Source_EUI,Median_ES_Score,Average_ES_Score,Total_GFA,Median_GFA,Median_Year_Built,Average_GHGSF,MedianGHGSF
College/University,41,57.8,80.5,140.4,81.5,130.3,130.8,159,,,16898494,90374,1970,4.1,1.8
Distribution Center,54,14.8,30.3,46.4,30.3,55.5,55.5,65.2,56,52,3469149,47500.5,1967,0.9,0.5
High-Rise Multifamily,118,36.7,45.3,55,45.7,47.7,48.2,99.4,68.5,63,25110520,167206,1989.5,1.1,0.9
Hospital,10,165.7,194,205.2,181,195.5,194.2,356.3,70,64.2,8333776,499356.5,1978,6,5.9
Hotel,81,60.9,75.5,89.8,75.8,80.4,80.6,141.4,72.5,69.2,12673678,88591,1980,2.6,2.3
K-12 School,140,33,38.9,49.2,39.8,42.9,43.7,72.1,70.5,65.4,10838889,55712.5,1964.5,1.4,1.2
Laboratory,15,176.7,255.5,278.2,254.2,260.3,275.5,491.5,,,1310004,55200,1985,8.7,7.3
Large Office,167,41.4,50.4,63.5,50.1,57,57.1,130.4,84,78.5,55125591,224493,1988,0.7,0.4
Low-Rise Multifamily,1014,25.1,29.8,38.1,29.9,35.1,35.4,76.2,84,77,40579722,29669.5,1978,0.7,0.2
Medical Office,44,65.1,78.6,106.8,78.8,492.6,527.4,193.6,53,45.9,5477395,78127,1987,22.8,0.9
Mid-Rise Multifamily,663,27.8,33.5,42.9,33.5,38.1,38.3,77.3,93,84.4,54787072,57091,2001,0.8,0.7
Mixed Use Property,145,41.9,64.9,107.4,65.6,93.4,94.2,142.4,68.5,63.1,16762130,51203,1978,2.1,1.2
Non-Refrigerated Warehouse,153,15.1,28,51.4,28.3,35.8,36,62.1,47,48,8581960,39840,1965,1,0.7
Other,255,44.1,73,113.7,75,96.7,97.7,145.3,75,75,21106878,36140,1963,2.5,1.6
Refrigerated Warehouse,12,31.5,37.5,56.9,37.3,63.9,63.6,100.9,42,46.4,867298,25548.5,1955,0.8,0.4
Residence Hall/Dormitory,21,30.7,45.1,68.6,45.7,51.6,52.2,96,77,72.3,1915835,84240,1981,1.7,1.4
Restaurant,9,137.8,157.8,259.8,157.5,215.2,215.3,314.4,,,266236,28800,1923,7.5,5.9
Retail Store,74,36.5,51.2,75.1,50.9,60.7,60.7,113.5,67,58.3,5054832,39074,1964.5,1.3,0.8
Self-Storage Facility,43,7.9,11.9,22.7,12.2,18.8,19.2,27.3,,,3205653,64660,1969,0.5,0.2
Senior Care Community,45,46.2,63.9,87.8,64.3,77.2,77.2,136.9,69,64.5,4937441,69035,1989,2.7,1.9
Small- and Mid-Sized Office,304,37.8,51.3,69.5,51.5,59,59.1,125,70,62.8,14016307,39103,1964,0.9,0.5
Supermarket/Grocery Store,39,151,222.1,300.1,223.7,229.3,230.1,448.1,60.5,56.9,1999617,44755,1989,5.6,5.2
Worship Facility,69,25.9,37.4,47.8,37.9,38.6,39.1,61.1,49,48.5,2186503,25521,1951,1.4,1.2
